unit,shift_id,responder_id,experience_level,rescue_attempts,successful_rescues
Unit Alpha,S05022,R03655,junior,7,4
Unit Bravo,S05023,R02257,mid,10,5
Unit Alpha,S05024,R00041,junior,3,2
Unit Delta,S05025,R02251,senior,8,7
Unit Bravo,S05026,R02696,junior,2,1
Unit Delta,S05027,R02626,junior,13,11
Unit Alpha,S05028,R01840,senior,3,3
Unit Alpha,S05029,R04549,mid,5,3
Unit Delta,S05030,R01905,junior,3,1
Unit Delta,S05031,R00439,senior,4,4
Unit Echo,S05032,R04439,mid,6,5
Unit Delta,S05033,R04358,junior,8,5
Unit Alpha,S05034,R01319,junior,4,4
Unit Delta,S05035,R04088,mid,6,4
Unit Echo,S05036,R02724,junior,3,3
Unit Delta,S05037,R03089,junior,7,2
Unit Delta,S05038,R01121,mid,8,5
Unit Delta,S05039,R01043,junior,9,4
Unit Echo,S05040,R03052,junior,4,2
Unit Echo,S05041,R02214,senior,8,7
Unit Alpha,S05042,R02029,junior,6,3
Unit Echo,S05043,R00205,mid,4,3
Unit Bravo,S05044,R00455,junior,7,4
Unit Alpha,S05045,R02749,mid,4,3
Unit Delta,S05046,R03704,mid,10,7
Unit Bravo,S05047,R02821,senior,4,4
Unit Echo,S05048,R03027,junior,8,5
Unit Alpha,S05049,R00897,junior,9,6
Unit Echo,S05050,R03000,senior,5,3
Unit Echo,S05051,R03296,senior,8,8
Unit Delta,S05052,R02607,senior,5,5
Unit Alpha,S05053,R01165,mid,9,6
Unit Echo,S05054,R02476,mid,4,3
Unit Delta,S05055,R04375,junior,4,3
Unit Echo,S05056,R04084,mid,6,5
Unit Alpha,S05057,R03713,mid,7,4
Unit Delta,S05058,R03987,mid,4,1
Unit Echo,S05059,R03824,mid,3,2
Unit Bravo,S05060,R03450,mid,12,9
Unit Echo,S05061,R00794,senior,4,3
Unit Alpha,S05062,R00909,junior,5,1
Unit Bravo,S05063,R00425,mid,7,5
Unit Echo,S05064,R04052,junior,4,2
Unit Delta,S05065,R03629,junior,3,1
Unit Echo,S05066,R02922,mid,9,8
Unit Echo,S05067,R02708,junior,4,4
Unit Bravo,S05068,R02008,senior,10,9
Unit Echo,S05069,R02564,junior,5,4
Unit Echo,S05070,R01324,senior,10,8
Unit Echo,S05071,R04706,mid,3,2
Unit Delta,S05072,R02200,junior,5,4
Unit Bravo,S05073,R02934,junior,1,1
Unit Alpha,S05074,R03838,senior,5,4
Unit Delta,S05075,R03203,mid,10,8
Unit Echo,S05076,R01459,mid,6,5
Unit Alpha,S05077,R02124,junior,4,2
Unit Alpha,S05078,R02517,junior,3,1
Unit Bravo,S05079,R04363,junior,10,5
Unit Bravo,S05080,R00050,mid,1,1
Unit Echo,S05081,R01210,senior,8,8
Unit Echo,S05082,R03619,junior,6,3
Unit Echo,S05083,R02466,junior,4,1
Unit Echo,S05084,R03193,junior,8,6
Unit Alpha,S05085,R02844,junior,5,5
Unit Delta,S05086,R03760,junior,8,5
Unit Echo,S05087,R03158,junior,6,5
Unit Delta,S05088,R00038,junior,4,4
Unit Bravo,S05089,R03635,mid,7,6
Unit Alpha,S05090,R02283,senior,5,4
Unit Delta,S05091,R03784,mid,5,4
Unit Echo,S05092,R01086,senior,8,6
Unit Delta,S05093,R00422,junior,10,6
Unit Echo,S05094,R04804,mid,7,4
Unit Alpha,S05095,R04157,mid,9,6
Unit Echo,S05096,R03107,junior,9,6
Unit Alpha,S05097,R04518,senior,10,9
Unit Echo,S05098,R02643,junior,2,2
Unit Alpha,S05099,R03141,junior,6,6
Unit Echo,S05100,R03413,mid,7,6
Unit Bravo,S05101,R03715,mid,8,8
Unit Delta,S05102,R02272,senior,9,8
Unit Echo,S05103,R01391,mid,7,6
Unit Alpha,S05104,R04178,junior,7,6
Unit Echo,S05105,R01568,junior,9,7
Unit Bravo,S05106,R04264,mid,5,3
Unit Delta,S05107,R03914,junior,6,3
Unit Alpha,S05108,R02345,senior,6,6
Unit Delta,S05109,R03466,junior,5,1
Unit Alpha,S05110,R01636,mid,6,4
Unit Delta,S05111,R01445,mid,7,3
Unit Alpha,S05112,R03754,mid,4,3
Unit Delta,S05113,R03473,junior,4,4
Unit Bravo,S05114,R02183,junior,8,6
Unit Bravo,S05115,R00708,junior,6,4
Unit Alpha,S05116,R03031,junior,10,6
Unit Delta,S05117,R00368,junior,6,3
Unit Delta,S05118,R00936,junior,4,3
Unit Delta,S05119,R03478,mid,8,7
Unit Bravo,S05120,R03830,junior,3,2
Unit Bravo,S05121,R01769,junior,4,3
Unit Echo,S05122,R00111,junior,3,3
Unit Bravo,S05123,R00073,junior,5,4
Unit Delta,S05124,R01524,mid,6,6
Unit Echo,S05125,R03578,senior,7,7
Unit Bravo,S05126,R01140,mid,8,7
Unit Bravo,S05127,R01773,mid,7,7
Unit Alpha,S05128,R02473,junior,5,4
Unit Bravo,S05129,R01380,mid,7,4
Unit Bravo,S05130,R03533,junior,3,2
Unit Delta,S05131,R03020,mid,4,4
Unit Bravo,S05132,R02294,mid,9,6
Unit Delta,S05133,R02927,junior,6,3
Unit Delta,S05134,R02450,senior,9,7
Unit Alpha,S05135,R01586,mid,9,6
Unit Bravo,S05136,R03334,senior,5,5
Unit Bravo,S05137,R03146,senior,5,5
Unit Alpha,S05138,R01797,junior,6,3
Unit Delta,S05139,R00453,mid,8,7
Unit Echo,S05140,R04382,junior,9,3
Unit Bravo,S05141,R00219,mid,5,4
Unit Echo,S05142,R00594,senior,5,5
Unit Delta,S05143,R04150,junior,4,1
Unit Bravo,S05144,R02979,mid,5,3
Unit Bravo,S05145,R02937,junior,11,3
Unit Delta,S05146,R03098,mid,6,5
Unit Bravo,S05147,R03151,junior,6,2
Unit Echo,S05148,R00037,mid,4,4
Unit Bravo,S05149,R03563,junior,5,4
Unit Delta,S05150,R03062,senior,5,5
Unit Alpha,S05151,R03199,junior,6,4
Unit Echo,S05152,R04439,senior,5,4
Unit Delta,S05153,R03120,mid,5,3
Unit Alpha,S05154,R01599,senior,2,2
Unit Alpha,S05155,R00327,senior,8,5
Unit Delta,S05156,R04236,junior,6,3
Unit Delta,S05157,R02115,mid,7,4
Unit Bravo,S05158,R02376,junior,6,3
Unit Bravo,S05159,R03718,mid,4,4
Unit Bravo,S05160,R02662,senior,13,13
Unit Echo,S05161,R00084,mid,5,4
Unit Delta,S05162,R00793,junior,6,4
Unit Echo,S05163,R00639,mid,6,4
Unit Delta,S05164,R04933,senior,5,5
Unit Delta,S05165,R01544,mid,12,6
Unit Alpha,S05166,R02822,mid,9,3
Unit Echo,S05167,R04239,mid,8,7
Unit Delta,S05168,R04725,senior,6,6
Unit Alpha,S05169,R03097,junior,7,6
Unit Bravo,S05170,R04530,mid,7,7
Unit Delta,S05171,R01705,senior,5,4
Unit Delta,S05172,R01252,junior,7,4
Unit Alpha,S05173,R01388,senior,5,4
Unit Delta,S05174,R00254,mid,4,3
Unit Delta,S05175,R00434,junior,7,5
Unit Delta,S05176,R02084,junior,4,3
Unit Bravo,S05177,R04880,senior,8,7
Unit Bravo,S05178,R03259,junior,10,8
Unit Alpha,S05179,R03019,junior,10,6
Unit Delta,S05180,R04692,junior,9,5
Unit Echo,S05181,R04866,mid,4,4
Unit Delta,S05182,R00751,junior,8,3
Unit Delta,S05183,R02788,mid,5,3
Unit Bravo,S05184,R01467,junior,8,5
Unit Echo,S05185,R03649,mid,7,5
Unit Bravo,S05186,R03845,senior,3,2
Unit Bravo,S05187,R02768,mid,7,7
Unit Delta,S05188,R01276,mid,3,3
Unit Delta,S05189,R02601,mid,6,6
Unit Bravo,S05190,R03610,junior,4,4
Unit Delta,S05191,R03271,mid,5,3
Unit Bravo,S05192,R02932,mid,4,3
Unit Echo,S05193,R01865,junior,6,5
Unit Alpha,S05194,R02764,junior,5,3
Unit Echo,S05195,R04704,junior,5,2
Unit Alpha,S05196,R03969,junior,8,6
Unit Echo,S05197,R02316,junior,9,7
Unit Bravo,S05198,R02988,mid,5,4
Unit Alpha,S05199,R01971,junior,7,2
Unit Delta,S05200,R01041,senior,5,5
Unit Alpha,S05201,R01922,junior,3,2
Unit Bravo,S05202,R02345,junior,6,4
Unit Delta,S05203,R03206,mid,10,6
Unit Bravo,S05204,R00206,junior,9,7
Unit Echo,S05205,R02911,junior,9,4
Unit Bravo,S05206,R04553,junior,7,3
Unit Delta,S05207,R00571,mid,6,5
Unit Echo,S05208,R03889,senior,5,4
Unit Alpha,S05209,R03060,senior,6,4
Unit Alpha,S05210,R03500,senior,2,2
Unit Echo,S05211,R04969,mid,6,4
Unit Bravo,S05212,R00271,junior,5,5
Unit Alpha,S05213,R01575,mid,6,4
Unit Delta,S05214,R04674,mid,6,4
Unit Bravo,S05215,R00115,mid,5,4
Unit Bravo,S05216,R04736,mid,4,4
Unit Delta,S05217,R04514,mid,4,4
Unit Delta,S05218,R04312,senior,12,12
Unit Echo,S05219,R00468,junior,6,2
Unit Alpha,S05220,R01043,senior,10,6
Unit Delta,S05221,R02916,senior,9,8
Unit Echo,S05222,R04951,mid,5,4
Unit Delta,S05223,R02587,junior,2,2
Unit Alpha,S05224,R00648,junior,7,5
Unit Bravo,S05225,R01343,junior,4,4
Unit Alpha,S05226,R03383,junior,8,6
Unit Echo,S05227,R00186,junior,7,5
Unit Bravo,S05228,R00386,junior,7,2
Unit Echo,S05229,R00566,junior,5,5
Unit Bravo,S05230,R01614,senior,4,4
Unit Alpha,S05231,R03965,junior,5,4
Unit Echo,S05232,R04784,junior,3,3
Unit Alpha,S05233,R04055,mid,1,1
Unit Alpha,S05234,R00294,junior,8,5
Unit Echo,S05235,R03255,mid,10,8
Unit Bravo,S05236,R00138,mid,3,3
Unit Bravo,S05237,R00532,junior,7,5
Unit Delta,S05238,R01862,senior,9,9
Unit Echo,S05239,R02600,junior,6,5
Unit Alpha,S05240,R03539,senior,2,2
Unit Delta,S05241,R03885,senior,3,3
Unit Alpha,S05242,R03348,mid,9,8
Unit Echo,S05243,R00266,junior,4,1
Unit Alpha,S05244,R02829,mid,6,3
Unit Delta,S05245,R03036,senior,6,5
Unit Bravo,S05246,R01650,junior,7,5
Unit Delta,S05247,R02077,senior,7,7
Unit Bravo,S05248,R04110,mid,6,4
Unit Bravo,S05249,R03922,junior,1,0
Unit Echo,S05250,R00857,mid,2,2
Unit Alpha,S05251,R03787,junior,2,2
Unit Alpha,S05252,R00749,mid,8,6
Unit Delta,S05253,R00190,junior,7,4
Unit Echo,S05254,R01316,mid,9,6
Unit Echo,S05255,R02492,senior,6,6
Unit Alpha,S05256,R02495,junior,9,7
Unit Alpha,S05257,R03783,mid,5,3
Unit Bravo,S05258,R04315,mid,4,3
Unit Echo,S05259,R01949,junior,4,2
Unit Alpha,S05260,R04206,mid,5,5
Unit Alpha,S05261,R02165,senior,6,6
Unit Alpha,S05262,R00544,mid,10,6
Unit Echo,S05263,R01320,junior,8,4
Unit Bravo,S05264,R00175,junior,4,2
Unit Alpha,S05265,R01488,mid,4,3
Unit Alpha,S05266,R02069,junior,6,2
Unit Bravo,S05267,R03898,junior,7,4
Unit Echo,S05268,R02539,mid,5,4
Unit Alpha,S05269,R00398,junior,5,2
Unit Delta,S05270,R01347,mid,5,3
Unit Alpha,S05271,R01432,junior,7,3
Unit Bravo,S05272,R02814,junior,8,5
Unit Delta,S05273,R02769,junior,6,4
Unit Bravo,S05274,R03748,senior,7,7
Unit Delta,S05275,R00391,junior,9,6
Unit Bravo,S05276,R04834,mid,9,8
Unit Echo,S05277,R03401,junior,5,4
Unit Bravo,S05278,R01473,mid,8,4
Unit Delta,S05279,R02387,senior,7,7
Unit Bravo,S05280,R02246,mid,3,1
Unit Bravo,S05281,R03153,mid,6,4
Unit Echo,S05282,R02227,mid,5,5
Unit Bravo,S05283,R00830,mid,5,3
Unit Bravo,S05284,R04252,mid,6,6
Unit Echo,S05285,R04308,mid,3,2
Unit Alpha,S05286,R03824,junior,8,4
Unit Bravo,S05287,R00381,mid,5,4
Unit Alpha,S05288,R04706,junior,6,5
Unit Delta,S05289,R03145,mid,4,2
Unit Alpha,S05290,R02031,mid,6,5
Unit Bravo,S05291,R00338,mid,2,1
Unit Alpha,S05292,R00322,senior,9,8
Unit Echo,S05293,R03873,mid,7,4
Unit Bravo,S05294,R04148,junior,8,4
Unit Bravo,S05295,R03090,junior,6,5
Unit Echo,S05296,R01655,junior,5,2
Unit Alpha,S05297,R00045,senior,5,5
Unit Bravo,S05298,R01877,mid,4,4
Unit Alpha,S05299,R01684,mid,3,3
Unit Delta,S05300,R02505,junior,9,7
Unit Echo,S05301,R02587,mid,7,4
Unit Echo,S05302,R03018,mid,6,4
Unit Bravo,S05303,R03594,mid,4,3
Unit Delta,S05304,R03710,senior,6,5
Unit Echo,S05305,R03805,junior,7,3
Unit Bravo,S05306,R04964,mid,3,3
Unit Alpha,S05307,R00602,mid,4,3
Unit Bravo,S05308,R00817,mid,6,6
Unit Bravo,S05309,R04557,senior,3,1
Unit Alpha,S05310,R01466,junior,6,3
Unit Echo,S05311,R01906,senior,7,7
Unit Echo,S05312,R04881,junior,1,1
Unit Bravo,S05313,R01387,senior,5,5
Unit Delta,S05314,R03893,senior,9,9
Unit Alpha,S05315,R02128,mid,8,5
Unit Echo,S05316,R04903,mid,7,5
Unit Delta,S05317,R01810,junior,3,0
Unit Bravo,S05318,R04962,senior,5,5
Unit Bravo,S05319,R04428,senior,7,7
Unit Echo,S05320,R02673,junior,7,3
Unit Delta,S05321,R04080,junior,10,4
Unit Delta,S05322,R04887,mid,4,3
Unit Delta,S05323,R00799,mid,8,7
Unit Alpha,S05324,R01738,mid,7,4
Unit Alpha,S05325,R04799,junior,3,2
Unit Bravo,S05326,R03940,mid,8,8
Unit Alpha,S05327,R03431,mid,5,4
Unit Bravo,S05328,R01170,junior,5,3
Unit Echo,S05329,R02130,mid,8,7
Unit Delta,S05330,R00551,mid,5,4
Unit Bravo,S05331,R04067,mid,7,4
Unit Echo,S05332,R01375,senior,5,5
Unit Echo,S05333,R01154,junior,6,5
Unit Alpha,S05334,R02234,junior,8,5
Unit Alpha,S05335,R00214,senior,3,3
Unit Alpha,S05336,R01927,senior,4,4
Unit Bravo,S05337,R01028,mid,6,4
Unit Alpha,S05338,R01350,mid,3,2
Unit Alpha,S05339,R00301,junior,4,1
Unit Echo,S05340,R03677,junior,6,4
Unit Echo,S05341,R03559,junior,7,3
Unit Delta,S05342,R01024,junior,5,1
Unit Bravo,S05343,R04881,mid,2,2
Unit Alpha,S05344,R01717,senior,12,9
Unit Echo,S05345,R04340,junior,4,4
Unit Delta,S05346,R03993,junior,7,4
Unit Echo,S05347,R04167,junior,7,4
Unit Alpha,S05348,R02996,mid,4,3
Unit Alpha,S05349,R01199,junior,7,4
Unit Echo,S05350,R03293,mid,9,7
Unit Delta,S05351,R02835,mid,11,5
Unit Echo,S05352,R03125,mid,5,3
Unit Alpha,S05353,R04476,senior,4,4
Unit Alpha,S05354,R01197,mid,3,2
Unit Delta,S05355,R02896,mid,5,5
Unit Alpha,S05356,R04001,senior,2,2
Unit Bravo,S05357,R01480,mid,4,3
Unit Delta,S05358,R03005,junior,6,4
Unit Delta,S05359,R02974,junior,7,3
Unit Delta,S05360,R02828,senior,8,8
Unit Bravo,S05361,R00966,senior,5,3
Unit Delta,S05362,R04559,junior,8,6
Unit Alpha,S05363,R01666,junior,5,4
Unit Delta,S05364,R01911,junior,4,2
Unit Alpha,S05365,R03267,junior,8,2
Unit Alpha,S05366,R01846,junior,4,2
Unit Alpha,S05367,R02457,mid,6,5
Unit Bravo,S05368,R00026,mid,5,4
Unit Bravo,S05369,R00678,junior,4,3
Unit Echo,S05370,R04642,junior,2,1
Unit Echo,S05371,R00104,mid,3,3
Unit Alpha,S05372,R03667,junior,9,4
Unit Bravo,S05373,R00483,mid,11,9
Unit Echo,S05374,R02943,senior,8,8
Unit Delta,S05375,R02722,mid,7,6
Unit Bravo,S05376,R02273,mid,5,2
Unit Echo,S05377,R01098,mid,7,4
Unit Bravo,S05378,R00300,senior,4,4
Unit Alpha,S05379,R00330,senior,3,3
Unit Alpha,S05380,R02190,junior,12,11
Unit Bravo,S05381,R03802,junior,8,5
Unit Alpha,S05382,R04771,mid,2,0
Unit Echo,S05383,R02367,junior,7,6
Unit Echo,S05384,R03480,junior,2,1
Unit Echo,S05385,R00481,junior,6,4
Unit Delta,S05386,R02816,junior,6,3
Unit Echo,S05387,R04233,senior,7,6
Unit Echo,S05388,R03932,mid,7,5
Unit Delta,S05389,R01427,junior,6,4
Unit Alpha,S05390,R00227,mid,4,4
Unit Echo,S05391,R01907,mid,5,3
Unit Bravo,S05392,R03313,mid,7,6
Unit Bravo,S05393,R04745,mid,9,8
Unit Bravo,S05394,R00228,senior,4,4
Unit Alpha,S05395,R02397,junior,5,3
Unit Delta,S05396,R00828,mid,8,6
Unit Bravo,S05397,R00852,mid,7,4
Unit Echo,S05398,R00724,senior,6,5
Unit Delta,S05399,R03954,junior,3,0
Unit Echo,S05400,R02208,junior,4,4
Unit Bravo,S05401,R03873,junior,6,4
Unit Bravo,S05402,R01341,senior,8,7
Unit Delta,S05403,R00870,senior,5,5
Unit Alpha,S05404,R01883,junior,6,4
Unit Delta,S05405,R04363,mid,7,2
Unit Echo,S05406,R03847,junior,7,4
Unit Alpha,S05407,R01850,mid,7,6
Unit Delta,S05408,R04771,senior,7,6
Unit Echo,S05409,R01515,mid,6,5
Unit Bravo,S05410,R03124,junior,6,4
Unit Bravo,S05411,R00265,junior,5,4
Unit Echo,S05412,R01581,mid,4,4
Unit Bravo,S05413,R00179,mid,7,6
Unit Echo,S05414,R00288,junior,6,4
Unit Alpha,S05415,R00292,mid,5,3
Unit Alpha,S05416,R01196,junior,5,3
Unit Alpha,S05417,R01048,junior,1,0
Unit Bravo,S05418,R03819,mid,7,4
Unit Alpha,S05419,R00422,mid,5,4
Unit Echo,S05420,R03572,mid,4,2
Unit Alpha,S05421,R01400,mid,6,3
Unit Echo,S05422,R00760,mid,5,4
Unit Alpha,S05423,R02743,mid,7,7
Unit Delta,S05424,R00735,junior,8,7
Unit Delta,S05425,R04206,junior,8,8
Unit Bravo,S05426,R00022,mid,7,4
Unit Echo,S05427,R00973,junior,6,3
Unit Bravo,S05428,R03288,senior,4,4
Unit Delta,S05429,R03267,junior,4,2
Unit Delta,S05430,R01174,mid,5,4
Unit Delta,S05431,R00364,junior,6,3
Unit Echo,S05432,R01106,junior,5,2
Unit Bravo,S05433,R03427,junior,4,2
Unit Echo,S05434,R00622,junior,13,7
Unit Bravo,S05435,R01476,mid,6,5
Unit Delta,S05436,R02357,junior,2,2
Unit Bravo,S05437,R04824,senior,5,5
Unit Delta,S05438,R00363,mid,2,2
Unit Delta,S05439,R01830,mid,5,4
Unit Echo,S05440,R01558,junior,5,4
Unit Delta,S05441,R02226,mid,6,6
Unit Delta,S05442,R02505,mid,8,8
Unit Echo,S05443,R01280,mid,4,3
Unit Delta,S05444,R00705,mid,6,5
Unit Bravo,S05445,R00951,mid,5,4
Unit Alpha,S05446,R03184,mid,7,5
Unit Delta,S05447,R02643,junior,5,4
Unit Delta,S05448,R04517,mid,9,8
Unit Bravo,S05449,R03032,mid,5,4
Unit Bravo,S05450,R04517,senior,7,5
Unit Alpha,S05451,R03257,junior,3,0
Unit Echo,S05452,R01799,junior,5,3
Unit Echo,S05453,R02557,mid,8,5
Unit Delta,S05454,R00849,mid,7,7
Unit Bravo,S05455,R02935,mid,11,7
Unit Echo,S05456,R03863,senior,10,9
Unit Alpha,S05457,R00928,mid,6,5
Unit Echo,S05458,R04431,mid,11,9
Unit Echo,S05459,R03554,junior,7,4
Unit Bravo,S05460,R03355,mid,7,6
Unit Delta,S05461,R04061,senior,3,3
Unit Bravo,S05462,R03436,junior,3,1
Unit Bravo,S05463,R04985,mid,6,5
Unit Bravo,S05464,R03907,mid,6,5
Unit Echo,S05465,R00034,mid,4,4
Unit Echo,S05466,R00065,mid,7,7
Unit Bravo,S05467,R04536,junior,5,4
Unit Bravo,S05468,R01548,junior,6,3
Unit Echo,S05469,R04801,junior,2,1
Unit Bravo,S05470,R04320,mid,5,3
Unit Alpha,S05471,R02134,junior,5,4
Unit Alpha,S05472,R02071,senior,2,1
Unit Alpha,S05473,R00877,junior,2,0
Unit Echo,S05474,R01374,junior,12,8
Unit Alpha,S05475,R02177,senior,7,6
Unit Delta,S05476,R02780,junior,8,4
Unit Alpha,S05477,R02716,senior,6,6
Unit Bravo,S05478,R00891,junior,4,2
Unit Alpha,S05479,R03733,mid,6,6
Unit Bravo,S05480,R03203,mid,5,4
Unit Echo,S05481,R00275,mid,2,2
Unit Delta,S05482,R01550,senior,6,6
Unit Delta,S05483,R04915,junior,8,7
Unit Delta,S05484,R03277,mid,8,6
Unit Echo,S05485,R03036,junior,6,2
Unit Alpha,S05486,R02484,senior,4,3
Unit Bravo,S05487,R00682,junior,6,4
Unit Alpha,S05488,R04526,mid,9,4
Unit Alpha,S05489,R02343,junior,7,7
Unit Echo,S05490,R01898,junior,12,8
Unit Echo,S05491,R03512,senior,4,4
Unit Alpha,S05492,R01537,mid,10,5
Unit Delta,S05493,R03715,mid,2,2
Unit Alpha,S05494,R04395,senior,3,3
Unit Bravo,S05495,R03364,mid,5,4
Unit Delta,S05496,R04060,mid,5,4
Unit Echo,S05497,R02423,mid,3,2
Unit Alpha,S05498,R02211,mid,6,5
Unit Alpha,S05499,R03675,junior,4,3
Unit Bravo,S05500,R04379,junior,8,4
Unit Echo,S05501,R04592,mid,14,10
Unit Delta,S05502,R03947,junior,4,1
Unit Alpha,S05503,R04428,junior,6,5
Unit Delta,S05504,R01932,senior,7,6
Unit Alpha,S05505,R00665,junior,10,6
Unit Delta,S05506,R02784,mid,3,2
Unit Delta,S05507,R04282,junior,6,1
Unit Alpha,S05508,R02044,mid,8,8
Unit Alpha,S05509,R01952,junior,4,2
Unit Echo,S05510,R04967,mid,4,2
Unit Delta,S05511,R00452,mid,6,5
Unit Delta,S05512,R01532,junior,4,3
Unit Echo,S05513,R02179,junior,8,6
Unit Delta,S05514,R01442,mid,3,1
Unit Echo,S05515,R03679,mid,4,2
Unit Echo,S05516,R02717,junior,8,6
Unit Echo,S05517,R03079,senior,5,5
Unit Alpha,S05518,R03288,mid,4,3
Unit Bravo,S05519,R03434,senior,8,8
Unit Alpha,S05520,R00249,junior,9,6
Unit Echo,S05521,R00701,senior,6,6
Unit Bravo,S05522,R02712,junior,7,4
Unit Echo,S05523,R04042,mid,8,6
Unit Bravo,S05524,R04220,junior,5,1
Unit Bravo,S05525,R04233,mid,6,4
Unit Delta,S05526,R02065,senior,7,6
Unit Alpha,S05527,R03810,mid,2,1
Unit Bravo,S05528,R03470,mid,7,4
Unit Bravo,S05529,R01720,mid,6,6
Unit Delta,S05530,R00905,mid,5,5
Unit Delta,S05531,R00688,mid,2,2
Unit Echo,S05532,R02316,senior,7,7
Unit Delta,S05533,R02187,junior,4,2
Unit Delta,S05534,R01584,senior,5,3
Unit Bravo,S05535,R03647,senior,6,6
Unit Bravo,S05536,R03340,mid,8,6
Unit Delta,S05537,R04185,junior,5,2
Unit Delta,S05538,R04795,mid,5,3
Unit Alpha,S05539,R02295,junior,4,3
Unit Bravo,S05540,R01858,senior,6,6
Unit Bravo,S05541,R01426,junior,5,3
Unit Bravo,S05542,R03197,mid,7,4
Unit Delta,S05543,R00574,senior,8,8
Unit Delta,S05544,R04005,mid,13,11
Unit Alpha,S05545,R01674,senior,4,2
Unit Delta,S05546,R00555,junior,4,3
Unit Echo,S05547,R00904,senior,10,9
Unit Bravo,S05548,R03523,mid,10,6
Unit Bravo,S05549,R02036,mid,6,6
Unit Echo,S05550,R00574,mid,6,6
Unit Bravo,S05551,R03453,mid,5,5
Unit Delta,S05552,R03417,mid,5,3
Unit Alpha,S05553,R03657,junior,8,4
Unit Alpha,S05554,R04347,senior,6,5
Unit Delta,S05555,R03990,junior,6,3
Unit Bravo,S05556,R00666,junior,9,7
Unit Echo,S05557,R01500,senior,7,6
Unit Bravo,S05558,R01807,senior,6,6
Unit Bravo,S05559,R00701,mid,8,6
Unit Alpha,S05560,R00783,mid,4,3
Unit Echo,S05561,R00143,junior,5,3
Unit Bravo,S05562,R02203,senior,5,4
Unit Delta,S05563,R00349,mid,10,8
Unit Alpha,S05564,R02672,junior,5,5
Unit Echo,S05565,R04162,mid,6,4
Unit Bravo,S05566,R02595,mid,1,1
Unit Bravo,S05567,R00715,mid,7,6
Unit Delta,S05568,R03555,junior,5,2
Unit Echo,S05569,R00338,mid,2,2
Unit Delta,S05570,R03953,mid,8,7
Unit Delta,S05571,R02095,junior,8,5
Unit Bravo,S05572,R02982,senior,8,8
Unit Alpha,S05573,R01067,junior,7,6
Unit Delta,S05574,R03773,junior,6,5
Unit Echo,S05575,R04121,mid,5,5
Unit Bravo,S05576,R01289,mid,8,6
Unit Bravo,S05577,R00516,mid,1,1
Unit Bravo,S05578,R01822,senior,3,3
Unit Alpha,S05579,R00727,senior,8,8
Unit Echo,S05580,R01068,junior,5,3
Unit Bravo,S05581,R01095,junior,7,5
Unit Delta,S05582,R00002,senior,6,6
Unit Echo,S05583,R04207,junior,5,0
Unit Delta,S05584,R01288,mid,5,4
Unit Delta,S05585,R04404,mid,11,7
Unit Bravo,S05586,R02385,junior,5,5
Unit Alpha,S05587,R04624,mid,9,8
Unit Delta,S05588,R00500,mid,8,7
Unit Bravo,S05589,R01456,mid,9,8
Unit Delta,S05590,R03227,mid,8,7
Unit Bravo,S05591,R02839,junior,4,3
Unit Delta,S05592,R00450,mid,4,4
Unit Delta,S05593,R00830,junior,9,7
Unit Echo,S05594,R04060,mid,5,3
Unit Alpha,S05595,R01935,mid,3,1
Unit Delta,S05596,R04708,mid,7,5
Unit Bravo,S05597,R02544,mid,3,2
Unit Delta,S05598,R02763,senior,8,5
Unit Echo,S05599,R04649,mid,9,5
Unit Alpha,S05600,R02781,mid,7,4
Unit Delta,S05601,R04697,junior,5,2
Unit Echo,S05602,R03456,mid,6,4
Unit Delta,S05603,R04411,mid,4,2
Unit Alpha,S05604,R04974,mid,4,3
Unit Bravo,S05605,R01071,junior,9,6
Unit Alpha,S05606,R03806,junior,8,5
Unit Bravo,S05607,R03797,mid,3,3
Unit Echo,S05608,R02197,mid,3,3
Unit Bravo,S05609,R03818,junior,7,3
Unit Bravo,S05610,R02394,junior,6,3
Unit Delta,S05611,R01922,junior,8,5
Unit Alpha,S05612,R03327,junior,5,4
Unit Alpha,S05613,R04271,mid,4,2
Unit Delta,S05614,R02816,senior,6,5
Unit Alpha,S05615,R02107,mid,8,6
Unit Alpha,S05616,R00373,senior,3,3
Unit Delta,S05617,R00052,mid,7,5
Unit Alpha,S05618,R02191,junior,5,4
Unit Delta,S05619,R03107,junior,10,7
Unit Echo,S05620,R02914,mid,5,4
Unit Alpha,S05621,R02883,junior,5,2
Unit Alpha,S05622,R03409,mid,6,5
Unit Alpha,S05623,R03323,mid,7,4
Unit Bravo,S05624,R01762,mid,6,5
Unit Bravo,S05625,R04113,junior,6,4
Unit Delta,S05626,R04374,mid,3,1
Unit Echo,S05627,R00844,junior,2,1
Unit Echo,S05628,R02362,junior,7,6
Unit Echo,S05629,R02701,mid,2,2
Unit Bravo,S05630,R04941,mid,7,6
Unit Delta,S05631,R01621,mid,8,5
Unit Bravo,S05632,R04150,senior,4,4
Unit Bravo,S05633,R01856,junior,6,5
Unit Alpha,S05634,R04508,mid,8,7
Unit Bravo,S05635,R00513,senior,7,7
Unit Bravo,S05636,R02735,junior,8,6
Unit Alpha,S05637,R04385,senior,5,5
Unit Bravo,S05638,R04923,mid,10,10
Unit Alpha,S05639,R00539,mid,6,5
Unit Echo,S05640,R02650,mid,6,5
Unit Echo,S05641,R01413,mid,7,6
