training_center,course_id,participant_id,difficulty_level,score
Desert Camp,C033,P02343,easy,77.5
Desert Camp,C023,P03296,hard,50.9
Mountain Base,C063,P04140,hard,58.4
North Ridge,C016,P03710,easy,79.8
Mountain Base,C063,P04789,hard,54.4
Forest Edge,C048,P00080,medium,80.9
North Ridge,C003,P05098,medium,68.9
Mountain Base,C061,P03036,easy,83.4
North Ridge,C004,P03405,hard,52.0
Forest Edge,C051,P00772,medium,71.4
Forest Edge,C048,P03392,medium,60.8
Mountain Base,C070,P02180,medium,71.4
Mountain Base,C068,P00055,medium,68.9
Forest Edge,C056,P00178,medium,72.1
North Ridge,C010,P04491,medium,57.5
Desert Camp,C026,P03633,medium,83.7
Forest Edge,C047,P05552,medium,66.8
North Ridge,C013,P01572,easy,84.9
Mountain Base,C059,P04995,medium,61.8
North Ridge,C013,P00469,easy,80.7
North Ridge,C001,P01041,medium,72.8
North Ridge,C002,P02958,medium,70.6
North Ridge,C002,P02192,medium,68.1
Forest Edge,C038,P03560,medium,81.4
Forest Edge,C041,P05719,medium,53.3
Forest Edge,C050,P04479,medium,70.0
Mountain Base,C072,P02750,easy,85.3
Forest Edge,C054,P04715,easy,95.8
Mountain Base,C065,P00877,medium,64.5
Forest Edge,C052,P01683,medium,69.0
North Ridge,C001,P04979,medium,62.8
North Ridge,C005,P00168,medium,79.8
Desert Camp,C021,P01484,easy,75.1
Mountain Base,C061,P05089,easy,85.9
North Ridge,C018,P03065,hard,60.0
North Ridge,C016,P04038,easy,74.7
Forest Edge,C039,P01370,medium,68.8
Forest Edge,C039,P05028,medium,85.0
Forest Edge,C041,P01086,medium,74.5
North Ridge,C003,P05268,medium,59.5
Forest Edge,C035,P04015,medium,90.0
Desert Camp,C030,P00178,medium,43.7
Forest Edge,C048,P04942,medium,57.4
Mountain Base,C063,P04875,hard,48.6
Mountain Base,C069,P04939,medium,62.2
Mountain Base,C057,P04490,medium,90.5
Desert Camp,C033,P04511,easy,79.5
Forest Edge,C037,P01895,easy,89.2
North Ridge,C010,P00869,medium,66.7
Forest Edge,C040,P00045,medium,68.3
Desert Camp,C025,P04036,medium,76.0
Mountain Base,C066,P01169,hard,63.9
North Ridge,C003,P01396,medium,71.7
Forest Edge,C048,P05414,medium,65.6
Mountain Base,C074,P00411,medium,56.0
North Ridge,C016,P05444,easy,78.8
Desert Camp,C024,P02756,medium,69.8
Mountain Base,C075,P00464,medium,68.0
Forest Edge,C053,P05878,easy,76.3
North Ridge,C010,P05901,medium,59.1
North Ridge,C018,P03861,hard,75.1
Desert Camp,C023,P01161,hard,42.0
Mountain Base,C069,P05564,medium,82.8
North Ridge,C016,P05093,easy,90.5
Mountain Base,C064,P05077,hard,84.6
Forest Edge,C049,P00881,medium,79.0
Forest Edge,C038,P00123,medium,78.1
Mountain Base,C069,P05630,medium,51.9
Forest Edge,C045,P00376,hard,71.7
Forest Edge,C055,P02963,medium,63.7
North Ridge,C015,P03354,hard,60.6
Mountain Base,C062,P05439,hard,47.1
North Ridge,C001,P00781,medium,49.2
North Ridge,C011,P00062,hard,56.2
North Ridge,C007,P04989,easy,89.1
Forest Edge,C053,P04000,easy,82.5
Mountain Base,C072,P03502,easy,79.6
North Ridge,C002,P02811,medium,75.8
Mountain Base,C071,P02654,medium,73.0
Mountain Base,C072,P03505,easy,66.1
Forest Edge,C037,P05249,easy,62.7
North Ridge,C008,P03673,easy,81.4
North Ridge,C011,P04079,hard,65.4
Desert Camp,C020,P05154,hard,59.7
Forest Edge,C048,P04001,medium,69.6
North Ridge,C012,P00004,medium,64.0
Forest Edge,C039,P05605,medium,73.0
North Ridge,C011,P02417,hard,73.8
Mountain Base,C062,P04577,hard,61.7
Mountain Base,C057,P05801,medium,71.2
Desert Camp,C029,P05033,medium,53.7
Forest Edge,C044,P04039,medium,67.9
Desert Camp,C026,P03228,medium,74.7
Desert Camp,C032,P04108,medium,65.7
Mountain Base,C063,P05168,hard,69.9
Forest Edge,C054,P01305,easy,78.1
Mountain Base,C060,P03559,medium,64.9
Forest Edge,C049,P02936,medium,67.6
Mountain Base,C072,P02777,easy,92.8
Desert Camp,C031,P05646,hard,64.1
Mountain Base,C075,P00473,medium,65.0
Mountain Base,C071,P03940,medium,71.9
Mountain Base,C071,P03281,medium,77.0
North Ridge,C011,P00294,hard,53.2
Desert Camp,C028,P05563,easy,74.0
Mountain Base,C062,P00698,hard,62.0
Mountain Base,C061,P02775,easy,84.3
Desert Camp,C030,P04534,medium,46.0
Forest Edge,C038,P03315,medium,41.4
Forest Edge,C055,P01929,medium,55.2
North Ridge,C003,P05229,medium,69.0
Mountain Base,C071,P00858,medium,75.6
North Ridge,C015,P03567,hard,53.5
Mountain Base,C064,P01650,hard,63.1
North Ridge,C017,P00715,medium,68.3
Desert Camp,C030,P02868,medium,62.9
Mountain Base,C065,P03962,medium,66.4
North Ridge,C014,P05004,easy,84.7
North Ridge,C003,P02504,medium,66.7
Mountain Base,C075,P03894,medium,80.8
Forest Edge,C047,P05707,medium,54.4
Desert Camp,C030,P05488,medium,51.6
Forest Edge,C050,P02020,medium,68.1
Mountain Base,C060,P03171,medium,69.4
North Ridge,C003,P02168,medium,69.4
Desert Camp,C027,P03203,easy,90.6
Forest Edge,C037,P03943,easy,77.3
Desert Camp,C024,P04537,medium,61.8
Forest Edge,C048,P01606,medium,75.2
Mountain Base,C073,P04947,medium,94.3
Mountain Base,C071,P05343,medium,73.4
Desert Camp,C029,P05337,medium,62.3
North Ridge,C015,P03120,hard,64.6
North Ridge,C010,P00483,medium,68.8
North Ridge,C004,P01470,hard,45.4
North Ridge,C019,P03499,easy,77.5
Desert Camp,C025,P05859,medium,67.9
Forest Edge,C047,P01853,medium,65.8
Desert Camp,C032,P00803,medium,70.1
Mountain Base,C061,P05644,easy,81.4
Desert Camp,C025,P03385,medium,55.2
North Ridge,C012,P02610,medium,67.8
Desert Camp,C029,P02989,medium,84.5
Desert Camp,C021,P00622,easy,68.6
Desert Camp,C023,P00445,hard,65.5
Mountain Base,C059,P03778,medium,57.1
North Ridge,C017,P01087,medium,69.5
Mountain Base,C073,P03547,medium,53.6
North Ridge,C013,P01189,easy,80.2
Mountain Base,C063,P04458,hard,50.9
Desert Camp,C026,P05552,medium,76.8
North Ridge,C015,P03519,hard,63.5
Mountain Base,C075,P01100,medium,63.1
Mountain Base,C062,P04883,hard,55.3
Forest Edge,C043,P04772,medium,55.4
Mountain Base,C068,P01742,medium,68.8
Forest Edge,C044,P04573,medium,65.2
Forest Edge,C035,P04688,medium,82.1
North Ridge,C006,P03664,medium,77.9
Forest Edge,C037,P00919,easy,98.1
Desert Camp,C025,P02902,medium,62.6
Mountain Base,C072,P03004,easy,84.3
North Ridge,C013,P01846,easy,61.8
Forest Edge,C037,P01847,easy,81.8
North Ridge,C008,P02024,easy,60.1
North Ridge,C014,P04745,easy,85.7
Forest Edge,C052,P01267,medium,69.7
Forest Edge,C044,P05942,medium,79.1
Forest Edge,C037,P05561,easy,82.1
North Ridge,C007,P03120,easy,83.5
North Ridge,C003,P05075,medium,68.8
Mountain Base,C058,P00586,easy,84.2
Desert Camp,C023,P05569,hard,46.9
Desert Camp,C033,P05496,easy,79.3
North Ridge,C010,P05921,medium,78.9
North Ridge,C003,P00823,medium,67.5
Forest Edge,C045,P02396,hard,44.9
North Ridge,C001,P05162,medium,66.9
Desert Camp,C030,P01874,medium,87.7
Mountain Base,C058,P03696,easy,100.0
Forest Edge,C055,P01557,medium,67.7
Desert Camp,C028,P00129,easy,72.3
Desert Camp,C025,P00138,medium,75.7
Desert Camp,C024,P01076,medium,88.6
Mountain Base,C058,P00848,easy,86.9
Forest Edge,C036,P02552,medium,63.0
Mountain Base,C072,P01166,easy,71.6
Desert Camp,C028,P03231,easy,72.8
Mountain Base,C064,P02776,hard,58.4
Forest Edge,C055,P02622,medium,62.2
North Ridge,C013,P01590,easy,84.4
Mountain Base,C070,P03918,medium,59.1
Desert Camp,C024,P04550,medium,59.1
North Ridge,C001,P04191,medium,52.0
Forest Edge,C035,P05601,medium,94.6
Mountain Base,C074,P00781,medium,70.3
Forest Edge,C050,P05146,medium,62.2
Mountain Base,C072,P03640,easy,65.2
Forest Edge,C037,P03555,easy,82.3
Mountain Base,C062,P02625,hard,69.1
Forest Edge,C044,P02517,medium,51.4
Forest Edge,C047,P05941,medium,50.1
Mountain Base,C073,P00972,medium,64.9
Forest Edge,C049,P04530,medium,78.9
Desert Camp,C023,P03701,hard,49.3
Mountain Base,C062,P04451,hard,44.3
Mountain Base,C073,P05633,medium,67.3
Desert Camp,C034,P04928,medium,77.7
Forest Edge,C041,P02663,medium,87.6
North Ridge,C008,P00406,easy,94.0
Forest Edge,C054,P03271,easy,65.7
Forest Edge,C055,P04435,medium,69.6
Forest Edge,C040,P05697,medium,65.7
Forest Edge,C039,P04663,medium,88.8
Mountain Base,C061,P05781,easy,84.6
North Ridge,C012,P03996,medium,56.1
North Ridge,C017,P01410,medium,77.4
Forest Edge,C050,P05574,medium,82.2
North Ridge,C013,P01410,easy,84.3
Forest Edge,C035,P03837,medium,69.9
Desert Camp,C023,P04620,hard,80.8
Forest Edge,C043,P04970,medium,67.6
Desert Camp,C029,P05064,medium,58.4
North Ridge,C003,P04068,medium,82.4
Mountain Base,C063,P02983,hard,73.6
North Ridge,C013,P00277,easy,70.7
Mountain Base,C075,P01005,medium,86.3
Desert Camp,C025,P03060,medium,69.0
Mountain Base,C064,P05381,hard,54.3
Forest Edge,C037,P01461,easy,75.8
Forest Edge,C052,P03921,medium,57.7
North Ridge,C006,P05114,medium,77.2
North Ridge,C002,P03138,medium,75.3
Mountain Base,C072,P00795,easy,70.4
Desert Camp,C030,P00780,medium,78.1
Desert Camp,C029,P00215,medium,78.7
Desert Camp,C031,P01890,hard,61.1
Mountain Base,C059,P03182,medium,90.5
Desert Camp,C022,P00374,medium,67.6
Forest Edge,C035,P05374,medium,64.8
Desert Camp,C029,P00491,medium,53.0
Desert Camp,C030,P03210,medium,100.0
Forest Edge,C045,P03247,hard,76.6
Forest Edge,C056,P03799,medium,67.4
Forest Edge,C036,P03577,medium,60.4
North Ridge,C014,P03848,easy,79.5
Mountain Base,C064,P05214,hard,63.6
Mountain Base,C063,P02849,hard,51.4
Desert Camp,C023,P02669,hard,69.4
North Ridge,C015,P01439,hard,53.4
North Ridge,C008,P01065,easy,92.0
North Ridge,C013,P00765,easy,76.3
Mountain Base,C059,P00408,medium,62.2
Forest Edge,C053,P05256,easy,71.6
Mountain Base,C068,P00391,medium,82.3
North Ridge,C018,P05893,hard,47.8
Forest Edge,C052,P00397,medium,61.6
Desert Camp,C024,P01461,medium,59.0
Forest Edge,C053,P02941,easy,82.4
North Ridge,C009,P03125,medium,82.8
Forest Edge,C054,P01628,easy,94.9
Mountain Base,C071,P01723,medium,65.6
Forest Edge,C053,P00806,easy,81.5
North Ridge,C010,P01092,medium,72.1
Mountain Base,C070,P01057,medium,77.7
Mountain Base,C067,P03585,easy,83.5
Mountain Base,C058,P00993,easy,81.2
Forest Edge,C040,P05484,medium,62.5
Mountain Base,C063,P03212,hard,65.5
Mountain Base,C067,P05489,easy,73.4
Desert Camp,C029,P03639,medium,56.2
North Ridge,C014,P00194,easy,79.4
Desert Camp,C022,P04127,medium,77.8
Mountain Base,C066,P04097,hard,62.1
North Ridge,C007,P01829,easy,75.2
Forest Edge,C052,P01279,medium,62.0
Forest Edge,C044,P00233,medium,79.5
Mountain Base,C063,P01360,hard,55.8
Forest Edge,C050,P02203,medium,67.6
Forest Edge,C055,P01095,medium,78.9
Mountain Base,C063,P03225,hard,67.5
Forest Edge,C044,P01862,medium,77.4
Mountain Base,C065,P01155,medium,74.1
Mountain Base,C066,P05249,hard,63.7
Forest Edge,C040,P00240,medium,79.7
North Ridge,C005,P00838,medium,85.8
Forest Edge,C041,P05859,medium,80.3
North Ridge,C002,P01826,medium,73.9
North Ridge,C015,P05358,hard,66.4
Forest Edge,C053,P03597,easy,62.4
Forest Edge,C040,P04555,medium,84.8
Mountain Base,C075,P05497,medium,73.4
Mountain Base,C058,P05053,easy,69.0
Desert Camp,C033,P01157,easy,64.3
Desert Camp,C022,P04640,medium,57.1
Forest Edge,C040,P04059,medium,68.1
Desert Camp,C023,P05775,hard,53.2
Desert Camp,C034,P01347,medium,77.8
Desert Camp,C034,P03102,medium,74.5
North Ridge,C004,P02571,hard,57.3
Mountain Base,C067,P00547,easy,77.6
Mountain Base,C063,P00239,hard,53.0
Desert Camp,C026,P02104,medium,70.1
Mountain Base,C057,P03859,medium,62.0
Mountain Base,C060,P01303,medium,53.6
Forest Edge,C045,P01630,hard,59.4
Forest Edge,C045,P04802,hard,56.0
Forest Edge,C053,P03408,easy,86.8
North Ridge,C008,P00583,easy,88.5
Forest Edge,C051,P02339,medium,63.1
Desert Camp,C024,P00304,medium,59.5
Desert Camp,C031,P05297,hard,63.6
Mountain Base,C070,P04676,medium,76.3
Forest Edge,C046,P03819,easy,72.8
Mountain Base,C060,P01428,medium,60.9
Desert Camp,C028,P05783,easy,91.2
Mountain Base,C060,P00085,medium,70.1
Desert Camp,C027,P02673,easy,71.5
Mountain Base,C072,P03285,easy,67.1
Mountain Base,C070,P04624,medium,65.6
Forest Edge,C049,P05500,medium,73.2
Forest Edge,C047,P02957,medium,57.0
North Ridge,C004,P01066,hard,49.7
Desert Camp,C027,P03397,easy,87.3
Forest Edge,C037,P05909,easy,85.8
North Ridge,C005,P00901,medium,66.9
Mountain Base,C062,P02682,hard,55.4
Mountain Base,C070,P01334,medium,64.3
Forest Edge,C041,P04829,medium,71.7
North Ridge,C005,P00316,medium,73.8
Forest Edge,C051,P02134,medium,85.1
Forest Edge,C048,P00383,medium,71.5
North Ridge,C013,P01186,easy,62.1
North Ridge,C001,P05858,medium,76.7
Mountain Base,C069,P00179,medium,74.2
Forest Edge,C041,P05549,medium,67.2
Forest Edge,C035,P02423,medium,63.5
Forest Edge,C036,P02305,medium,82.5
Forest Edge,C049,P04605,medium,69.3
Desert Camp,C027,P01796,easy,82.4
Desert Camp,C024,P05090,medium,87.4
North Ridge,C015,P02364,hard,82.7
Mountain Base,C071,P00106,medium,73.9
North Ridge,C006,P02203,medium,74.2
North Ridge,C012,P01772,medium,62.6
North Ridge,C015,P05430,hard,54.1
Forest Edge,C040,P02969,medium,85.1
North Ridge,C004,P04749,hard,58.5
Desert Camp,C029,P03000,medium,66.2
Desert Camp,C020,P02944,hard,69.8
Desert Camp,C029,P02321,medium,68.3
Desert Camp,C033,P05806,easy,62.2
Mountain Base,C060,P03183,medium,92.0
Desert Camp,C034,P03202,medium,94.4
North Ridge,C006,P02285,medium,74.7
Forest Edge,C041,P01939,medium,57.7
Forest Edge,C049,P00615,medium,66.2
Desert Camp,C026,P02481,medium,70.7
Desert Camp,C031,P04436,hard,54.6
Forest Edge,C048,P04806,medium,78.2
North Ridge,C010,P05179,medium,78.1
North Ridge,C006,P01223,medium,71.3
Forest Edge,C040,P04208,medium,62.6
Forest Edge,C053,P02660,easy,76.8
Mountain Base,C066,P05806,hard,56.9
Mountain Base,C059,P03563,medium,80.9
Mountain Base,C060,P04494,medium,70.6
North Ridge,C018,P03027,hard,58.0
Forest Edge,C054,P04594,easy,71.1
Mountain Base,C070,P05512,medium,79.1
Desert Camp,C034,P01969,medium,56.4
Forest Edge,C047,P00769,medium,66.5
Forest Edge,C046,P01152,easy,77.3
Mountain Base,C058,P00272,easy,75.6
Desert Camp,C023,P02832,hard,67.1
North Ridge,C002,P00133,medium,86.7
Forest Edge,C045,P00363,hard,54.2
Forest Edge,C035,P04905,medium,68.5
Desert Camp,C024,P01928,medium,67.3
Forest Edge,C053,P01112,easy,80.7
Mountain Base,C073,P01289,medium,69.0
Forest Edge,C055,P02316,medium,66.5
Forest Edge,C054,P00647,easy,79.8
Desert Camp,C030,P02185,medium,68.6
Mountain Base,C071,P01171,medium,65.2
Mountain Base,C058,P01632,easy,76.8
Mountain Base,C059,P01870,medium,60.4
North Ridge,C009,P04946,medium,74.3
Mountain Base,C064,P00611,hard,46.0
Desert Camp,C023,P03464,hard,68.1
North Ridge,C017,P05645,medium,70.0
Forest Edge,C053,P03392,easy,65.6
Forest Edge,C051,P05379,medium,73.8
Forest Edge,C037,P05831,easy,76.5
Mountain Base,C057,P03080,medium,51.2
Forest Edge,C041,P01458,medium,74.1
Mountain Base,C070,P01234,medium,76.9
North Ridge,C016,P02969,easy,97.8
Forest Edge,C045,P03769,hard,49.8
North Ridge,C005,P02157,medium,88.2
Forest Edge,C036,P02175,medium,59.3
Desert Camp,C022,P04377,medium,62.7
Mountain Base,C066,P02764,hard,60.2
North Ridge,C010,P01130,medium,57.2
Mountain Base,C073,P02442,medium,62.0
Mountain Base,C068,P01504,medium,86.0
Mountain Base,C067,P03614,easy,99.4
Mountain Base,C060,P04073,medium,64.0
Mountain Base,C066,P05073,hard,49.7
Forest Edge,C056,P00012,medium,80.1
North Ridge,C005,P01432,medium,65.7
Forest Edge,C040,P03967,medium,66.5
Forest Edge,C044,P01639,medium,85.2
Forest Edge,C046,P01057,easy,56.7
Desert Camp,C024,P00542,medium,50.6
Desert Camp,C026,P01917,medium,78.3
Mountain Base,C063,P00551,hard,45.4
Mountain Base,C068,P05013,medium,65.9
North Ridge,C007,P05213,easy,88.7
North Ridge,C018,P05601,hard,57.9
Forest Edge,C039,P00188,medium,74.0
Mountain Base,C068,P04615,medium,86.4
Desert Camp,C026,P02592,medium,62.9
Mountain Base,C069,P03797,medium,87.8
Desert Camp,C021,P00548,easy,72.3
North Ridge,C017,P05872,medium,67.8
Mountain Base,C073,P04880,medium,70.5
North Ridge,C015,P04024,hard,43.6
North Ridge,C005,P01138,medium,54.4
North Ridge,C010,P01872,medium,79.0
Forest Edge,C053,P01868,easy,89.9
North Ridge,C019,P03907,easy,84.4
Forest Edge,C037,P05202,easy,79.5
North Ridge,C003,P04226,medium,70.8
Mountain Base,C063,P03532,hard,56.7
North Ridge,C013,P02421,easy,81.3
North Ridge,C003,P04525,medium,60.0
Forest Edge,C048,P05273,medium,78.9
Forest Edge,C036,P01583,medium,70.4
North Ridge,C007,P02446,easy,88.4
Forest Edge,C045,P03011,hard,80.8
Desert Camp,C024,P00497,medium,60.0
Forest Edge,C039,P00797,medium,65.7
Mountain Base,C065,P05821,medium,74.5
Mountain Base,C060,P04615,medium,71.3
Mountain Base,C066,P00516,hard,66.8
Forest Edge,C050,P05354,medium,56.1
Mountain Base,C063,P05171,hard,55.0
Desert Camp,C032,P04789,medium,66.2
North Ridge,C018,P00951,hard,65.4
Forest Edge,C050,P04233,medium,56.4
North Ridge,C007,P05069,easy,85.1
North Ridge,C015,P04827,hard,45.2
Mountain Base,C064,P03603,hard,67.3
Forest Edge,C045,P04228,hard,62.5
Forest Edge,C056,P04779,medium,59.7
Desert Camp,C025,P03802,medium,66.6
North Ridge,C003,P03292,medium,63.0
North Ridge,C017,P00278,medium,65.0
North Ridge,C001,P05807,medium,81.1
Mountain Base,C066,P05675,hard,70.1
Mountain Base,C074,P01428,medium,78.8
Mountain Base,C058,P04306,easy,77.2
Desert Camp,C028,P03669,easy,85.3
Forest Edge,C046,P01989,easy,83.7
North Ridge,C012,P03611,medium,69.3
Desert Camp,C031,P03402,hard,65.5
Forest Edge,C036,P05226,medium,63.0
Mountain Base,C064,P03991,hard,59.2
Mountain Base,C066,P05387,hard,68.3
Desert Camp,C026,P05513,medium,67.9
North Ridge,C018,P01047,hard,65.4
North Ridge,C014,P02311,easy,83.9
Mountain Base,C075,P03244,medium,82.1
Forest Edge,C053,P03501,easy,79.9
North Ridge,C016,P02411,easy,76.3
North Ridge,C003,P00455,medium,64.7
Mountain Base,C059,P05288,medium,73.5
Forest Edge,C050,P01217,medium,92.6
Desert Camp,C021,P03353,easy,83.4
North Ridge,C011,P05035,hard,76.0
North Ridge,C010,P02163,medium,81.9
Mountain Base,C069,P05862,medium,68.1
Forest Edge,C047,P05712,medium,85.5
Desert Camp,C022,P00233,medium,78.7
Forest Edge,C049,P05796,medium,75.6
North Ridge,C010,P04073,medium,77.6
Mountain Base,C075,P00563,medium,72.4
Desert Camp,C022,P04951,medium,91.8
Mountain Base,C058,P00080,easy,78.7
North Ridge,C008,P05050,easy,96.0
Desert Camp,C028,P03035,easy,70.8
Forest Edge,C049,P02484,medium,87.7
North Ridge,C001,P03712,medium,53.0
Forest Edge,C043,P04728,medium,76.1
Forest Edge,C051,P05979,medium,68.8
Desert Camp,C030,P04991,medium,62.9
North Ridge,C005,P05103,medium,73.4
North Ridge,C010,P05122,medium,76.3
North Ridge,C007,P02037,easy,77.9
Desert Camp,C031,P02862,hard,53.7
Desert Camp,C033,P03096,easy,75.2
North Ridge,C016,P00305,easy,91.4
Forest Edge,C042,P04787,medium,80.5
Mountain Base,C073,P01842,medium,64.0
Mountain Base,C063,P05994,hard,50.5
Mountain Base,C065,P05941,medium,74.8
North Ridge,C015,P02976,hard,66.6
North Ridge,C011,P03113,hard,63.8
Mountain Base,C063,P00819,hard,58.4
Forest Edge,C037,P04262,easy,84.0
North Ridge,C014,P05141,easy,75.3
North Ridge,C011,P04496,hard,57.9
Forest Edge,C055,P03588,medium,61.0
North Ridge,C010,P02570,medium,75.0
Forest Edge,C050,P04452,medium,64.3
North Ridge,C008,P03956,easy,78.4
North Ridge,C008,P03842,easy,61.3
North Ridge,C004,P01491,hard,49.3
Mountain Base,C062,P01153,hard,63.5
North Ridge,C015,P00825,hard,34.1
Desert Camp,C027,P02245,easy,84.4
Mountain Base,C074,P02321,medium,52.9
Mountain Base,C067,P03574,easy,65.5
Mountain Base,C065,P01974,medium,61.7
Mountain Base,C058,P05978,easy,56.4
Forest Edge,C054,P01014,easy,80.3
Desert Camp,C025,P03848,medium,57.2
Desert Camp,C021,P04806,easy,91.1
Desert Camp,C022,P03804,medium,51.9
Forest Edge,C035,P01773,medium,80.4
North Ridge,C014,P01299,easy,74.8
North Ridge,C019,P05180,easy,72.7
North Ridge,C013,P02588,easy,72.8
Forest Edge,C052,P03719,medium,82.5
Forest Edge,C048,P04402,medium,48.4
Forest Edge,C054,P02861,easy,73.2
Desert Camp,C022,P02862,medium,70.4
Mountain Base,C073,P05842,medium,64.4
Desert Camp,C033,P01568,easy,68.5
North Ridge,C006,P05923,medium,75.0
Desert Camp,C021,P02068,easy,70.4
Desert Camp,C034,P02398,medium,80.5
Forest Edge,C038,P01512,medium,67.1
North Ridge,C017,P04540,medium,87.8
Forest Edge,C039,P02656,medium,77.9
Forest Edge,C051,P00334,medium,88.1
Mountain Base,C064,P02064,hard,64.6
Mountain Base,C068,P02062,medium,63.6
North Ridge,C017,P03913,medium,75.2
Mountain Base,C069,P00119,medium,79.8
North Ridge,C011,P04883,hard,53.0
North Ridge,C002,P05989,medium,71.7
Forest Edge,C043,P04254,medium,49.5
Mountain Base,C073,P00851,medium,78.8
Mountain Base,C074,P01071,medium,65.5
Forest Edge,C043,P03671,medium,78.5
Mountain Base,C071,P01487,medium,59.0
Mountain Base,C062,P02026,hard,50.4
North Ridge,C017,P02075,medium,77.1
Forest Edge,C040,P01386,medium,69.9
Mountain Base,C058,P01043,easy,91.8
Forest Edge,C045,P05616,hard,63.5
Mountain Base,C058,P01496,easy,75.4
North Ridge,C019,P00045,easy,59.6
Mountain Base,C064,P05990,hard,57.9
Mountain Base,C061,P02284,easy,74.4
Desert Camp,C034,P05882,medium,66.4
Desert Camp,C023,P00710,hard,72.3
Forest Edge,C037,P05238,easy,84.5
Forest Edge,C039,P00971,medium,60.8
Desert Camp,C033,P03477,easy,88.8
Forest Edge,C053,P00530,easy,61.9
Desert Camp,C028,P05863,easy,80.5
North Ridge,C001,P03960,medium,79.3
Forest Edge,C048,P00260,medium,69.6
North Ridge,C016,P05216,easy,75.1
Forest Edge,C038,P02686,medium,61.3
North Ridge,C006,P01760,medium,68.1
North Ridge,C005,P05441,medium,62.3
Desert Camp,C027,P01614,easy,74.1
Mountain Base,C072,P04177,easy,100.0
Desert Camp,C028,P00368,easy,90.8
Mountain Base,C075,P05568,medium,87.9
Desert Camp,C023,P04869,hard,62.2
Forest Edge,C052,P02567,medium,72.8
Mountain Base,C072,P04948,easy,79.2
Forest Edge,C048,P03069,medium,76.3
North Ridge,C002,P01534,medium,89.4
Mountain Base,C067,P02080,easy,78.6
Forest Edge,C045,P00272,hard,57.5
North Ridge,C010,P04135,medium,51.0
Mountain Base,C068,P03584,medium,77.2
Desert Camp,C023,P01473,hard,55.2
Mountain Base,C062,P01678,hard,62.8
Mountain Base,C065,P05510,medium,73.5
North Ridge,C017,P01075,medium,94.3
North Ridge,C011,P01351,hard,54.3
North Ridge,C019,P00501,easy,96.7
Mountain Base,C060,P02761,medium,74.4
North Ridge,C014,P04207,easy,78.2
Mountain Base,C073,P02900,medium,60.8
North Ridge,C008,P02445,easy,78.9
Mountain Base,C066,P01701,hard,58.2
Desert Camp,C022,P03925,medium,72.8
Desert Camp,C026,P03336,medium,68.2
North Ridge,C006,P05312,medium,65.3
North Ridge,C009,P04327,medium,58.0
North Ridge,C019,P04734,easy,67.6
Forest Edge,C037,P05550,easy,72.9
Forest Edge,C044,P02543,medium,69.2
North Ridge,C019,P04428,easy,62.6
Mountain Base,C060,P05657,medium,73.0
Forest Edge,C040,P00616,medium,85.6
North Ridge,C001,P00273,medium,64.7
Desert Camp,C032,P00048,medium,83.1
Forest Edge,C042,P04536,medium,76.7
North Ridge,C017,P02210,medium,62.8
Mountain Base,C064,P04558,hard,56.6
Forest Edge,C053,P02318,easy,81.6
Desert Camp,C026,P00020,medium,72.4
North Ridge,C007,P02154,easy,83.4
Desert Camp,C032,P00747,medium,78.8
North Ridge,C010,P03404,medium,60.9
North Ridge,C017,P00354,medium,69.1
North Ridge,C003,P02755,medium,66.1
Desert Camp,C031,P04270,hard,71.9
Forest Edge,C052,P05678,medium,80.1
Mountain Base,C069,P01390,medium,61.0
North Ridge,C016,P04398,easy,84.9
Mountain Base,C072,P00972,easy,55.9
Desert Camp,C021,P02298,easy,74.1
North Ridge,C003,P03397,medium,62.9
North Ridge,C019,P01138,easy,74.6
Desert Camp,C032,P01021,medium,86.4
Mountain Base,C057,P03991,medium,74.4
Mountain Base,C073,P00312,medium,62.4
Forest Edge,C035,P04383,medium,64.5
Forest Edge,C051,P03786,medium,72.8
Forest Edge,C056,P03234,medium,61.2
Forest Edge,C054,P04866,easy,79.7
North Ridge,C019,P03115,easy,85.5
Desert Camp,C033,P00314,easy,70.4
Mountain Base,C065,P02366,medium,59.6
Desert Camp,C024,P03819,medium,52.0
North Ridge,C001,P02048,medium,74.9
Mountain Base,C063,P02477,hard,62.8
Desert Camp,C022,P03574,medium,71.2
Mountain Base,C070,P03325,medium,74.6
Mountain Base,C073,P02331,medium,67.3
Mountain Base,C071,P01187,medium,84.2
Forest Edge,C047,P01057,medium,64.2
North Ridge,C009,P04732,medium,69.0
Forest Edge,C042,P00724,medium,68.9
North Ridge,C012,P02218,medium,71.1
Mountain Base,C060,P04746,medium,65.1
North Ridge,C017,P04357,medium,67.7
Forest Edge,C052,P00190,medium,60.8
Mountain Base,C057,P05836,medium,73.8
North Ridge,C012,P04770,medium,69.3
Forest Edge,C053,P01170,easy,82.0
Desert Camp,C029,P04249,medium,92.0
Mountain Base,C065,P00399,medium,82.3
Mountain Base,C064,P03619,hard,65.5
Mountain Base,C070,P03708,medium,89.5
Mountain Base,C069,P03229,medium,71.9
Mountain Base,C067,P03669,easy,81.9
Forest Edge,C044,P03009,medium,80.6
North Ridge,C011,P05923,hard,57.7
Desert Camp,C029,P03286,medium,71.7
Forest Edge,C055,P03375,medium,68.2
Mountain Base,C073,P04159,medium,80.4
Forest Edge,C038,P04865,medium,73.8
Forest Edge,C039,P03770,medium,60.0
